id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_category
44,1195,Yes,2.8,No,1,Yes,20,0.8,110,2,14,1580,1652,504,9,3,12,Yes,Yes,No,No
45,1514,No,2.9,No,0,No,27,0.2,118,3,1,186,1810,1152,8,3,20,No,Yes,Yes,No
46,1723,Yes,1.1,Yes,1,No,42,1,164,8,14,202,1791,3587,10,5,3,Yes,No,No,Yes
47,1054,Yes,1.8,Yes,3,Yes,40,0.8,196,7,10,27,774,2296,16,12,12,Yes,No,Yes,No
48,578,Yes,2.6,Yes,2,Yes,57,0.2,162,8,8,1025,1433,1270,15,3,5,Yes,No,Yes,No
49,596,No,2.1,Yes,9,No,64,0.8,111,8,15,885,1854,3238,16,13,10,No,No,No,Yes
50,1547,Yes,3,Yes,2,Yes,14,0.7,198,3,19,1042,1832,2059,5,5.767,15,Yes,No,Yes,No
51,1760,No,1.4,Yes,5,No,63,0.8,127,8,19,1382,1383,2053,19,12,16,No,Yes,No,No
52,1654,Yes,1.5,Yes,0,Yes,43,0.3,109,2,9.9165,546,629,3112,12,5,10,Yes,Yes,No,Yes
53,1457,No,1.9,Yes,1,Yes,16,0.3,102,3,10,1013,1287,1440,17,8,12,Yes,No,Yes,No
54,1073,Yes,0.5,Yes,0,No,51,0.5,145,7,9.9165,690,804,2908,6,5.767,18,No,Yes,No,No
55,1936,No,2.1,Yes,10,Yes,46,0.6,104,3,20,667,1036,2552,14,7,13,Yes,No,No,No
56,823,Yes,2.7,Yes,13,No,60,0.5,148,8,19,822,1449,905,14,11,17,Yes,Yes,Yes,No
57,987,No,1.3,Yes,0,Yes,61,0.4,107,3,9,581,820,3963,9,4,20,Yes,No,Yes,Yes
58,1757,No,0.5,No,8,No,49,0.5,180,6,14,265,713,2056,7,5,4,No,No,No,No
59,1063,No,1.4,Yes,2,Yes,48,1,128,5,4,127,683,2910,15,13,9,Yes,Yes,Yes,No
60,1484,No,3,No,3,No,12,0.6,134,3,5,916,969,1457,14,4,20,Yes,Yes,No,No
61,799,Yes,2.3,No,1,Yes,63,0.8,144,8,6,361,975,431,15,6,6,Yes,Yes,Yes,No
62,1156,Yes,1.2,Yes,0,Yes,50,0.8,159,2,9.9165,322,547,470,7,5.767,15,Yes,Yes,No,No
63,1720,No,2,No,15,Yes,55,0.5,168,2,18,753,1353,2148,14,2,5,Yes,Yes,Yes,No
64,702,No,2.6,Yes,2,Yes,9,0.7,141,3,3,504,1570,2955,10,4,19,Yes,No,No,No
65,616,No,1.9,Yes,13,Yes,44,0.8,81,3,17,651,1618,3366,18,8,13,Yes,Yes,No,Yes
66,1358,Yes,0.5,No,11,Yes,36,0.3,155,4,14,1565,1858,3068,9,4,4,Yes,Yes,No,Yes
67,1866,No,1.4,No,0,No,30,0.5,182,3,9.9165,108,1781,3834,16,11,8,No,No,No,Yes
68,1242,No,1.1,Yes,0,No,10,0.6,165,2,1,459,1225,1050,11,1,4,Yes,No,Yes,No
69,1166,No,1.5,Yes,0,Yes,43,0.8,80,4,1,205,603,3993,7,1,7,Yes,Yes,No,Yes
70,1448,Yes,0.5,Yes,6,Yes,45,0.8,138,7,11,570,1724,3378,13,11,2,Yes,Yes,Yes,Yes
71,1407,Yes,2.4,No,1,Yes,22,0.7,104,4,4,1172,1217,2192,9,7,13,Yes,No,Yes,No
72,605,No,1,No,8,Yes,9,0.1,142,3,16,160,1026,392,15,6,4,Yes,No,No,No
73,1038,No,1.2,No,3,No,43,0.7,141,1,5,4,638,3709,11,5.767,12,Yes,Yes,Yes,Yes
74,797,Yes,2.9,Yes,4,No,38,0.5,90,4,6,763,1413,590,9,2,6,No,Yes,No,No
75,819,No,0.6,Yes,8,Yes,42,0.9,188,6,20,339,1242,1814,5,4,13,Yes,No,Yes,No
76,1114,No,2.8,No,4,Yes,9,0.4,197,3,15,1040,1071,907,10,7,17,Yes,Yes,No,No
77,1234,Yes,1.6,Yes,1,No,33,0.6,172,1,3,166,778,1449,11,7,6,No,No,Yes,No
78,1199,Yes,2.5,Yes,15,Yes,16,0.2,116,4,20,1168,1552,3448,17,13,10,Yes,No,Yes,Yes
79,1103,No,1,Yes,6,No,29,0.7,111,6,8,990,1486,1837,8,7,16,No,Yes,Yes,No
80,1589,Yes,0.6,Yes,0,Yes,58,0.9,85,7,7,319,1206,3464,19,10,6,Yes,Yes,Yes,Yes
81,999,No,2.9,Yes,11,Yes,64,0.2,199,4,19,1397,1616,2593,14,11,16,Yes,Yes,No,No
82,1510,Yes,0.9,Yes,2,No,45,0.9,180,5,3,708,1752,3484,9,6,11,No,Yes,Yes,Yes
83,1008,No,0.8,No,11,No,61,1,114,3,15,1077,1122,2009,10,3,11,Yes,No,No,No
84,1127,Yes,2.9,Yes,5,Yes,57,0.8,163,1,13,928,1049,2048,11,5,17,Yes,Yes,Yes,No
85,1412,Yes,2.4,No,5,No,25,0.8,96,8,17,516,1894,837,15,9,4,No,No,Yes,No
86,1496,Yes,2,Yes,4,No,42,0.5,182,5,5,96,741,854,16,5.767,7,No,Yes,Yes,No
87,1083,Yes,2.9,Yes,1,Yes,64,0.8,178,3,11,1025,1118,3210,13,3,4,Yes,No,No,Yes
88,668,No,0.5,Yes,0,No,3,0.1,155,5,13,666,1203,2746,9,5,8,Yes,Yes,Yes,No
89,1309,No,1.1,Yes,0,No,33,0.5,100,4,14,557,1402,2334,10,1,11,Yes,No,Yes,No
90,1724,No,2,Yes,2,Yes,57,0.5,177,3,5,1605,1924,2822,19,3,16,Yes,Yes,No,Yes
91,1977,Yes,2,Yes,7,Yes,54,1,171,7,18,1226,1242,1971,18,7,14,Yes,Yes,No,No
92,885,No,2.3,Yes,0,Yes,15,0.4,103,7,9.9165,769,802,1410,16,10,5,Yes,Yes,Yes,No
93,879,Yes,2.5,No,11,Yes,14,0.7,83,6,15,403,1105,349,16,10,2,Yes,No,Yes,No
94,1322,No,1.7,Yes,6,No,7,0.8,140,3,9,177,1990,1418,19,17,12,No,Yes,No,No
95,1137,Yes,1,No,18,No,7,1,196,3,19,942,1179,3616,13,5,12,Yes,Yes,Yes,Yes
96,1355,No,2.3,No,10,Yes,23,0.2,132,5,16,651,891,880,19,4,8,Yes,Yes,No,No
97,1665,Yes,0.5,No,3,Yes,60,0.2,194,6,18,1572,1684,1601,18,17,14,Yes,No,No,No
98,657,No,2.5,No,0,No,37,0.7,141,2,1,476,961,1412,14,3,18,No,Yes,No,No
99,593,No,0.5,No,6,No,31,0.4,156,7,7,1233,1317,1692,6,2,7,Yes,No,No,No
100,1883,Yes,0.5,No,3,Yes,10,0.3,146,6,13,836,1739,2600,16,8,20,Yes,No,No,Yes
101,1732,Yes,1.1,No,4,Yes,12,0.8,119,8,9,824,881,1308,16,7,11,Yes,No,Yes,No
102,543,No,0.5,No,0,No,57,0.7,192,5,4,391,984,2413,17,14,15,Yes,No,No,No
103,1939,Yes,2.8,Yes,0,Yes,55,0.6,199,4,10,320,520,1047,14,10,18,Yes,Yes,No,No
104,553,No,2.4,Yes,1,Yes,8,0.5,121,7,3,325,902,1204,11,4,8,Yes,Yes,Yes,No
105,832,No,0.7,Yes,2,Yes,39,0.7,103,4,3,125,1504,1799,5,2,11,Yes,No,Yes,No
106,1661,No,1.9,Yes,5,No,23,1,172,5,10,846,1634,2676,12,6,11,No,Yes,Yes,Yes
107,1657,Yes,2.4,No,3,No,42,0.1,198,5,16,1770,1796,2597,18,1,14,Yes,No,No,Yes
108,1135,Yes,2,Yes,0,No,46,0.3,83,1,4,293,1846,3029,19,17,9,Yes,Yes,Yes,Yes
109,1775,Yes,1.5,No,3,No,41,0.1,163,1,7,1633,1869,2343,19,13,14,Yes,Yes,Yes,Yes
110,783,No,1.8,Yes,0,Yes,43,1,106,3,4,1198,1471,2016,16,4,18,Yes,Yes,No,No
111,617,Yes,2.3,No,0,No,32,0.5,199,7,20,768,874,2213,18,13,7,No,No,No,No
112,867,No,1.4,Yes,0,Yes,4,0.7,135,6,1,70,1974,790,13,6,3,Yes,Yes,No,No
113,1310,Yes,1.1,Yes,13,No,7,1,194,5,14,117,513,3182,8,4,5,Yes,Yes,No,No
114,1804,No,0.5,No,9,Yes,22,0.6,153,7,19,1158,1244,3472,9,1,20,Yes,No,Yes,Yes
115,1900,Yes,2.3,No,1,Yes,18,0.2,89,7,9,1055,1661,2871,12,1,13,Yes,Yes,Yes,Yes
116,909,Yes,1.4,No,0,No,53,0.3,82,8,9.9165,635,973,3187,12,9,4,Yes,No,No,No
117,1084,Yes,2.6,No,3,Yes,40,0.9,107,3,11,322,771,1945,15,4,10,Yes,Yes,No,No
118,1308,No,1.3,Yes,8,No,46,0.9,199,1,12,275,989,488,5,3,9,No,Yes,No,No
119,1778,No,0.5,No,0,No,15,0.5,102,3,9.9165,1445,1954,1214,5,5.767,14,Yes,No,No,No
120,1701,Yes,1.6,Yes,3,No,10,0.3,194,8,7,550,1338,2598,12,9,6,No,Yes,No,No
121,772,Yes,2.4,Yes,1,Yes,10,0.5,80,4,2,1242,1712,3242,18,11,4,Yes,Yes,No,Yes
122,825,Yes,0.5,Yes,7,No,52,0.9,130,3,10,597,863,3534,10,4,6,No,Yes,No,Yes
123,1379,No,1.1,No,5,Yes,36,0.8,200,2,7,538,1376,3426,5,4,17,Yes,Yes,Yes,Yes
124,1166,No,2,No,3,Yes,25,0.8,198,5,4,59,1203,2488,13,5,15,Yes,No,No,No
125,1659,No,2.8,No,5,No,16,0.6,89,1,20,819,902,3255,19,14,9,No,No,Yes,Yes
126,826,Yes,2.4,Yes,0,Yes,58,0.3,88,4,1,179,786,2863,9,3,18,Yes,No,Yes,No
127,1564,No,2.3,No,4,Yes,25,0.5,189,6,17,1259,1965,1496,6,4,7,Yes,Yes,Yes,No
128,1957,No,0.9,Yes,11,No,31,0.6,181,3,16,396,1732,3801,12,5.767,7,Yes,No,Yes,Yes
129,1571,No,1.4,No,0,Yes,19,0.1,100,6,1,713,1398,666,12,10,13,Yes,Yes,No,No
130,1414,No,2,Yes,2,No,54,0.8,99,7,3,262,829,3799,17,7,7,Yes,No,Yes,Yes
131,1790,No,2.5,Yes,9,No,2,0.1,184,1,14,622,792,1366,7,5.767,20,Yes,Yes,Yes,No
132,645,No,0.5,No,1,No,41,1,197,7,10,327,580,2962,12,9,4,Yes,Yes,Yes,No
133,668,No,2.9,Yes,7,No,30,0.2,195,8,12,522,1056,2399,10,5,7,Yes,Yes,Yes,No
134,1652,Yes,1.1,Yes,1,No,36,0.7,89,4,5,313,1264,2338,12,8,20,No,No,No,No
135,1213,Yes,0.5,No,0,No,16,0.5,108,5,9.9165,226,1248,2700,12,3,9,No,No,Yes,No
136,1272,Yes,2.5,Yes,0,No,22,0.9,133,6,8,605,669,2235,19,4,4,Yes,No,No,No
137,866,No,0.5,Yes,5,Yes,46,0.5,179,8,7,692,1686,3825,12,11,2,Yes,Yes,Yes,Yes
138,536,No,2.4,Yes,12,Yes,3,0.3,182,7,14,1386,1539,284,12,9,4,Yes,Yes,No,No
139,523,No,2.6,Yes,1,No,14,0.1,155,8,2,304,1042,1427,9,1,9,No,Yes,No,No
140,1753,No,0.5,Yes,0,Yes,31,0.1,134,1,18,1590,1926,1324,17,5.767,17,Yes,No,Yes,No
141,1218,No,1.8,Yes,1,Yes,14,0.5,147,3,4,229,616,398,17,5.767,5,Yes,No,No,No
142,1537,Yes,2.5,No,4,Yes,43,0.3,137,1,5,839,1131,3685,18,17,17,Yes,Yes,Yes,Yes
143,786,No,2.2,Yes,0,No,33,0.5,141,7,6,507,1697,2390,12,11,5,Yes,No,Yes,No
144,1678,No,2.1,No,3,Yes,64,0.9,134,3,11,436,536,278,19,5.767,10,Yes,Yes,No,No
145,1814,No,1.4,Yes,1,Yes,9,0.4,141,2,2,756,786,3556,18,12,16,Yes,No,No,Yes
146,1101,No,1.8,No,0,No,31,0.2,148,2,7,387,1269,2196,12,6,19,No,Yes,Yes,No
147,1461,No,2.4,Yes,3,Yes,40,0.5,141,7,4,1265,1298,3799,16,1,4,Yes,No,No,Yes
148,1216,No,3,No,4,No,47,0.4,199,3,7,1852,1967,2268,13,5,4,No,Yes,Yes,No
149,506,No,1.6,No,6,Yes,41,0.8,159,1,7,875,1025,2965,13,10,15,Yes,No,No,No
150,843,Yes,0.5,No,1,Yes,56,0.1,147,5,17,140,800,2341,10,1,20,Yes,Yes,Yes,No
151,742,No,2.2,Yes,4,No,56,0.2,190,7,14,577,1359,3557,16,11,12,No,Yes,Yes,Yes
152,1692,Yes,2.1,No,3,Yes,61,0.9,176,6,12,975,1996,1354,16,7,19,Yes,No,No,No
153,1485,No,1,No,2,Yes,32,0.7,84,2,9,510,1013,2147,19,1,11,Yes,Yes,No,No
154,1547,No,2.9,Yes,6,No,45,0.7,166,2,8,583,590,505,12,2,3,No,Yes,Yes,No
155,1692,No,2.3,Yes,4,Yes,46,0.9,139,1,6,674,1925,1394,16,10,6,Yes,Yes,No,No
156,637,No,2.3,No,3,Yes,60,0.8,97,4,4,1125,1989,374,18,4,8,Yes,No,Yes,No
157,1224,No,0.5,No,16,Yes,6,0.4,109,6,18,747,826,506,10,5.767,11,Yes,Yes,Yes,No
158,1356,No,2.8,No,0,No,29,0.5,198,6,9.9165,1612,1983,3702,17,5.767,19,No,No,No,Yes
159,1840,No,0.5,Yes,12,No,34,0.7,142,1,16,311,1545,1078,8,5.767,10,No,No,No,No
160,1481,Yes,0.7,Yes,4,Yes,37,0.6,96,5,13,116,1533,2945,10,5,16,Yes,Yes,Yes,No
161,961,Yes,1.5,Yes,10,No,51,0.3,152,6,16,554,621,2981,15,6,7,Yes,Yes,Yes,No
162,1296,No,0.9,Yes,0,Yes,14,0.5,124,5,3,811,1272,490,7,1,4,Yes,Yes,Yes,No
163,1193,No,0.9,No,11,No,26,0.5,166,1,20,730,1729,536,17,14,4,Yes,No,Yes,No
164,1441,No,2.1,Yes,11,Yes,3,0.1,118,8,17,577,1071,2317,16,4,7,Yes,No,Yes,No
165,517,No,1.4,Yes,3,Yes,33,0.8,183,4,8,660,974,3704,17,16,11,Yes,No,Yes,Yes
166,748,Yes,1.7,No,0,Yes,27,0.9,150,8,4,450,1554,2126,18,9,7,Yes,No,No,No
167,1126,Yes,2.4,No,2,Yes,10,0.4,160,6,3,1223,1611,2050,7,6,12,Yes,Yes,Yes,No
168,1572,No,0.6,No,0,Yes,58,0.2,157,7,8,1109,1937,2462,12,8,10,Yes,No,No,Yes
169,1569,No,2.8,Yes,17,No,44,0.3,110,4,20,45,1942,1260,9,2,17,Yes,No,No,No
170,1270,Yes,0.6,Yes,2,Yes,32,0.5,101,7,6,299,845,3770,5,3,13,Yes,Yes,No,Yes
171,1854,No,3,No,2,Yes,8,0.1,101,5,5,506,627,1886,17,4,20,Yes,Yes,No,No
172,625,Yes,1.2,Yes,5,Yes,10,0.2,183,4,8,635,842,3323,9,1,7,Yes,Yes,Yes,No
173,1577,No,0.5,Yes,0,Yes,42,0.3,197,5,4,1045,1737,2060,19,6,12,Yes,No,No,No
174,534,No,0.5,Yes,0,Yes,16,1,189,5,1,393,1199,3926,16,12,20,Yes,No,No,Yes
175,946,No,1.7,Yes,8,Yes,25,0.8,143,6,15,650,1740,2177,7,5,13,Yes,Yes,Yes,No
176,685,No,0.5,No,2,No,29,0.8,93,7,10,433,648,728,14,8,4,No,No,Yes,No
177,1949,No,1.3,Yes,0,No,23,0.1,101,5,1,839,1136,2478,14,8,20,Yes,No,No,Yes
178,947,No,0.8,Yes,0,Yes,22,0.1,197,2,13,1176,1220,2842,16,12,2,Yes,No,No,No
179,801,Yes,2.2,Yes,2,No,63,0.4,165,7,4,650,879,1617,17,4,19,No,No,Yes,No
180,703,Yes,2.7,No,12,Yes,30,0.3,113,1,20,218,1065,1472,14,7,7,Yes,No,No,No
181,1165,Yes,2.4,No,11,No,41,0.2,178,6,12,564,831,764,19,12,15,Yes,No,No,No
182,1082,No,0.8,No,0,No,38,0.1,198,8,5,986,1191,2337,6,1,17,No,Yes,Yes,No
183,959,Yes,2.6,Yes,15,No,20,1,84,4,19,561,1631,3965,16,1,6,Yes,No,No,Yes
184,1502,Yes,1.2,No,0,No,54,0.2,138,5,12,65,588,3693,17,14,16,Yes,Yes,No,Yes
185,1380,Yes,2.1,Yes,1,Yes,4,0.8,92,3,13,420,500,797,13,2,15,Yes,Yes,No,No
186,1266,No,0.5,No,0,Yes,5,0.1,95,6,9,1365,1698,1687,11,5.767,18,Yes,No,No,No
187,1934,Yes,2.6,Yes,0,Yes,46,0.1,103,1,17,619,1299,2940,13,9,2,Yes,Yes,Yes,Yes
188,1905,Yes,0.5,No,3,Yes,6,0.5,151,1,5,849,898,1545,9,5,10,Yes,Yes,No,No
189,1831,No,1.4,Yes,2,No,43,0.9,150,5,5,611,1381,3834,17,7,13,Yes,Yes,Yes,Yes
190,596,No,1.4,No,8,No,46,0.6,165,1,18,953,984,2505,15,4,15,Yes,Yes,No,No
191,1562,Yes,1.3,Yes,1,Yes,7,0.2,190,5,15,642,1533,2243,12,10,6,Yes,No,No,No
192,1490,Yes,0.5,Yes,4,Yes,64,0.3,150,8,8,1417,1464,3600,17,9,7,Yes,Yes,Yes,Yes
193,1523,Yes,2.4,No,5,Yes,57,0.2,117,2,6,247,539,3971,18,12,10,Yes,Yes,Yes,Yes
194,640,No,0.6,No,0,No,20,0.1,163,4,15,710,1179,2844,7,5,18,Yes,Yes,No,No
195,1526,No,2.1,No,1,Yes,23,0.2,117,7,8,718,751,2227,18,10,3,Yes,Yes,No,No
196,1989,No,2.5,Yes,0,Yes,41,0.8,94,3,13,1100,1497,1665,17,9,12,Yes,Yes,Yes,No
197,1308,No,1.9,No,0,Yes,61,0.7,106,3,7,59,1215,3355,15,2,4,Yes,No,Yes,Yes
198,609,No,0.5,No,3,No,26,0.3,93,4,4,938,1948,1866,11,10,14,Yes,Yes,Yes,No
199,1905,No,0.6,Yes,9,Yes,36,0.4,119,3,20,825,1542,1287,13,4,16,Yes,No,No,No
200,1703,Yes,0.5,No,0,Yes,22,0.6,192,1,9.9165,286,1235,1046,5,4,13,Yes,No,Yes,No
201,1445,Yes,2.4,Yes,7,Yes,20,0.4,173,7,15,1273,1345,1441,7,4,13,Yes,Yes,Yes,No
202,1087,No,1.3,No,0,Yes,16,0.3,166,3,9,295,589,690,14,6,6,Yes,No,Yes,No
203,671,No,0.9,Yes,10,No,30,0.7,105,7,17,852,1182,2504,6,4,15,Yes,No,No,No
204,1472,Yes,2.3,No,6,No,61,0.1,168,6,19,710,1052,2677,19,15,8,Yes,No,No,No
205,765,No,0.5,Yes,0,Yes,47,0.3,115,8,1,1277,1429,2243,11,7,4,Yes,No,Yes,No
206,1642,No,0.5,Yes,16,Yes,8,0.3,171,6,17,129,873,2984,13,4,17,Yes,No,Yes,No
207,1265,No,1.5,No,7,No,49,0.7,182,5,16,690,836,1362,5,5.767,12,No,No,Yes,No
208,664,Yes,1.1,Yes,1,Yes,51,0.1,110,7,4,701,1478,3629,19,15,6,Yes,Yes,Yes,Yes
209,1277,Yes,0.5,Yes,0,Yes,35,0.4,142,6,6,309,1460,3559,18,17,6,Yes,Yes,No,Yes
210,1395,No,1.8,Yes,0,No,23,0.1,111,3,1,213,705,2571,11,5.767,13,Yes,No,Yes,No
211,1539,Yes,2.6,No,0,No,41,0.1,159,8,9.9165,1112,1666,2107,15,9,10,Yes,No,Yes,No
212,1049,Yes,2.2,No,9,No,63,0.5,135,5,17,199,1077,1022,11,3,13,No,No,No,No
213,1827,No,1.7,No,4,Yes,39,0.5,128,5,16,55,1020,2844,14,9,10,Yes,Yes,No,No
214,903,No,1,Yes,0,Yes,50,0.4,91,1,9.9165,1230,1235,711,9,5,10,Yes,Yes,No,No
215,1987,Yes,0.5,No,3,Yes,53,1,181,3,7,1052,1516,3117,18,5,8,Yes,Yes,Yes,Yes
216,1154,No,1.2,Yes,0,Yes,49,0.2,181,8,2,541,1499,978,5,3,7,Yes,No,Yes,No
217,1336,No,0.9,No,5,Yes,17,0.2,194,5,9,55,583,1869,13,1,16,Yes,Yes,Yes,No
218,1886,No,0.5,No,0,Yes,24,0.4,112,3,1,809,1958,1179,16,7,20,Yes,No,Yes,No
219,1551,No,1.1,No,4,No,51,0.1,88,5,6,1738,1995,3844,11,8,4,No,Yes,No,Yes
220,850,Yes,1.6,Yes,6,Yes,29,0.5,133,5,19,404,642,593,19,17,10,Yes,No,Yes,No
221,660,No,0.5,No,5,Yes,40,0.5,111,2,10,262,1178,588,6,5,18,Yes,Yes,Yes,No
222,1225,Yes,2.1,Yes,8,No,13,0.5,116,4,12,759,1404,3836,12,11,11,No,No,No,Yes
223,1452,Yes,0.5,Yes,1,Yes,25,0.9,123,6,11,42,1040,2669,12,10,13,Yes,No,No,No
224,1686,Yes,2.8,Yes,3,No,38,0.1,166,4,4,397,1453,2958,14,11,2,No,No,No,Yes
225,1634,Yes,1.4,No,1,Yes,17,0.2,200,2,5,964,1677,3031,11,6,6,Yes,Yes,Yes,Yes
226,1708,Yes,2.4,Yes,18,Yes,49,0.1,109,1,19,233,517,3388,6,4,16,Yes,Yes,Yes,Yes
227,1151,Yes,2.9,Yes,0,No,31,0.6,128,8,1,1022,1560,2377,18,8,13,No,Yes,No,No
228,1578,No,1.9,Yes,2,Yes,37,0.1,138,4,19,411,1226,2458,19,16,3,Yes,No,Yes,No
229,1689,No,1.8,No,17,No,24,0.3,127,3,18,954,1200,2766,7,2,7,No,Yes,Yes,Yes
230,1488,No,0.5,No,1,No,39,0.8,112,5,6,1528,1647,3054,14,10,19,No,No,No,Yes
231,1313,Yes,1.8,Yes,4,No,9,0.4,105,1,6,416,1308,3791,11,10,6,No,Yes,Yes,Yes
232,1715,No,1,Yes,4,Yes,31,0.5,83,8,17,638,1615,625,17,6,13,Yes,No,No,No
233,1442,No,1,Yes,0,No,27,0.1,192,3,19,231,687,2227,6,5,20,Yes,Yes,No,No
234,528,No,1.7,No,12,Yes,6,0.8,142,2,15,574,637,3256,9,8,6,Yes,Yes,No,No
235,1523,Yes,1.8,No,6,Yes,11,0.1,129,1,8,148,1606,707,19,8,19,Yes,Yes,No,No
236,1133,No,1.4,No,3,No,42,0.1,199,5,12,730,1543,1457,18,12,20,Yes,No,Yes,No
237,1718,Yes,2.5,Yes,14,Yes,6,0.1,183,5,16,564,980,3755,7,1,8,Yes,Yes,Yes,Yes
